,id,edad,sexo,estado,Oxalis,Quercus,Cyp.bulb,Phaseolus,Insectos,Cyp.rizo,Commelina.dianthifolia,Euphorbia bilobata,time,dist_camino,ppanual17,tmedia17,altitud,lat,lon,hcrop,hland,gap
127,2016-104,J,Female,AZ,0.0,0.0,0.0,1.0707,0.0085,0.6081,0.2536,0.0,16:30,171.92,527,15.56250009,1616.0,31.391325,-110.464206,1.578036898,1.481311877,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
128,2016-105,J,Female,AZ,0.0,0.0,0.0,1.9805,0.0,0.0,0.4402,0.0,16:30,171.92,527,15.56250009,1616.0,31.391325,-110.464206,1.169040784,1.481311877,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
129,2016-106,J,Female,AZ,0.0,0.0,0.0,1.8584,0.0,0.3721,0.0,0.0076,16:30,171.92,527,15.56250009,1616.0,31.391325,-110.464206,0.700815882,1.481311877,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
130,2016-107,J,Male,AZ,0.0,0.0,0.0,2.1216,0.0,1.2667,0.0119,0.2029,15:30,230.06,536,15.41249979,1655.0,31.398052,-110.463635,1.196756415,1.506866435,"Chihuahuan Creosotebush, Mixed Desert and Thorn Scrub"
131,2016-108,J,Female,AZ,0.0,0.0,0.0,2.5714,0.0,1.0462,0.0,0.1153,15:30,230.06,536,15.41249979,1655.0,31.398052,-110.463635,1.029771951,1.506866435,"Chihuahuan Creosotebush, Mixed Desert and Thorn Scrub"
132,2016-110,J,Male,AZ,0.0,0.0,0.0,0.3143,0.0,0.0594,0.0226,0.0,10:00,108.04,528,15.47500012,1578.0,31.488971,-110.611033,1.335931779,1.391935879,Apacherian-Chihuahuan Piedmont Semi-Desert Grassland and Steppe
133,2016-115,A,Female,AZ,0.0,0.0,0.0,0.0,0.0,2.7432,0.0,0.0,16:00,161.74,525,15.37083332,1608.0,31.503429,-110.584759,0.329168055,1.362937382,Mogollon Chaparral
134,2016-116,J,Female,AZ,0.0,0.0,0.0,0.0,0.0,0.5039,0.0,0.0,16:00,161.74,525,15.37083332,1608.0,31.503429,-110.584759,0.775274898,1.362937382,Mogollon Chaparral
135,2016-117,A,Female,AZ,0.0,0.0,2.1546,0.0,0.0,0.0,0.0,0.0,16:00,161.74,525,15.37083332,1608.0,31.503429,-110.584759,0.043985817,1.362937382,Mogollon Chaparral
136,2016-118,J,Male,AZ,0.0,0.0,0.0,2.2695,0.0,0.1288,0.0,0.1058,12:45,111.82,520,15.5375,1558.0,31.484718,-110.602862,0.638124624,1.395862941,Apacherian-Chihuahuan Mesquite Upland Scrub
